year,name_last,name_first,state_agency_or_tribe
2023,Rave,Tim,Board of Regents
2023,Rechtenbaugh,Shawnie,Department of Human Services
2023,Rehorst,Abby,Board of Funeral Services
2023,Rehorst,Abby,Board of Speech-Language Pathologists
2023,Reiss,Amanda,Public Utilities Commission
2023,Richardson,Toni,Department of Revenue
2023,Richter,John,South Dakota Investment Council
2023,Ridgway,Tim,Board of Regents
2023,Ringling,Laura,Governor's Office
2023,Ringstmeyer,Kendra,Department of Labor and Regulation
2023,Ripley,Nina,State Plumbing Commission
2023,Rislov,Greg,Public Utilities Commission
2023,Roberts,Hunter,Dept. of Agriculture and Nat Resources
2023,Roberts,Jerilyn,Board of Regents
2023,Roberts,Lance,Board of Regents
2023,Roberts,Pam,Board of Regents
2023,Robling,Kevin,"Department of Game, Fish and Parks"
2023,Roggow,Jason,Dept. of Agriculture and Nat Resources
2023,Rohrer,Larry,Bureau of Information and Telecommunications
2023,Rombough,Kyrik,Dept. of Agriculture and Nat Resources
2023,Roth,Kelsey,Attorney General
2023,Roth,Troy,Dept. of Agriculture and Nat Resources
2023,Sanderson,Carrie,Board of Regents
2023,Sanderson,Carrie,Center for the Prevention of Child Maltreatment
2023,Sanderson,Tiffany,Lake Area Technical College
2023,Satterlee,Dan,Attorney General
2023,Sattizahn,Greg,Unified Judicial System
2023,Schaefbauer,Ali,Department of Revenue
2023,Scheibe,Laura,Department of Education
2023,Schelhaas,Sam,"Department of Game, Fish and Parks"
2023,Schiefelbein,Derek,Department of Agriculture and Natural Resources
2023,Schilken,Chris,Gov's Office of Econ Dev
2023,Schinkel,Douglas,Department of Revenue
2023,Schneider,Nicole,Department of Tribal Relations
2023,Schnoor,Neal,Board of Regents
2023,Scholl,Daniel,Board of Regents
2023,SCHRADER,PAUL,South Dakota Retirement System
2023,Schrank,Jane,Department of Public Safety
2023,Seamon,George,Department of Education
2023,Seeley,Darin,Bureau of Human Resources
2023,Semmler,Wendy,Department of Revenue
2023,Senger,Keith,Bureau of Finance and Management
2023,Sievers,Brenda,Dept. of Agriculture and Nat Resources
2023,Simmons,Jason,Department of Social Services
2023,Simpson,Scott,"Department of Game, Fish and Parks"
2023,Skipper,Brittni,Department of Corrections
2023,Slade,Mark,SD Small Business Development Center
2023,Smith,Bill,Dept. of Agriculture and Nat Resources
2023,Smith,Craig,Department of Transportation
2023,SMITH,DAWN,South Dakota Retirement System
2023,Snow,Pat,Bureau of Information and Telecommunications
2023,Soulek,Rachel,Secretary of State
2023,Spindle,Bill,Board of Regents
2023,Spring,Lyle,South Dakota Brand Board
2023,Stadick Smith,Mary,Department of Education
2023,Stahl,Jon,Department of Public Safety
2023,Stalley,Jennifer,Board of Addiction and Prevention Professionals
2023,Stanley,Lisa,Board of Social Work Examiners
2023,Steen,Tyler,Department of Public Safety
2023,Stevens,Sadie,Unified Judicial System
2023,Stiles,Diane,Lake Area Technical College
2023,Stoeser,Cody,Department of Education
2023,STORM,JACQUE,South Dakota Retirement System
2023,Strategies,GSG,SD Science & Technology Authority
2023,Stroeder,Eric,South Dakota Retirement System
2023,Stulken,Judy,Bureau of Human Resources
2023,Switzer,Chad,"Department of Game, Fish and Parks"
2023,Tedrow,Dr Todd,Animal Industry Board
2023,Tellinghuisen,Carol,Board of Funeral Services
2023,Tellinghuisen,Carol,Board of Social Work Examiners
2023,Tellinghuisen,Carol,Board of Speech-Language Pathologists
2023,Templeton,Don,Bureau of Finance and Management
2023,Terwilliger,Jim,Bureau of Finance and Management
2023,Thares,Jim,Board of Regents
2023,Thompson,Dr Beth,Animal Industry Board
2023,Thurber,Jon,Public Utilities Commission
2023,Tidball-Zeltinger,Brenda,Department of Social Services
2023,Titze,Tina,Department of Public Safety
2023,Trapp,Debbie,South Dakota Brand Board
2023,Trautman,Karla,Board of Regents
2023,Trefz,Dan,Board of Regents
2023,Tritle,Blaire,Bureau of Finance and Management
2023,Tronvold,Jeff,Unified Judicial System
2023,Turman,Kristi,Department of Public Safety
2023,Turner,Linda,Department of Education
2023,Valenti,Lynne,Department of Health
2023,Vallery,Rick,Gov's Office of Econ Dev
2023,Van Gerpen,Patricia,Public Utilities Commission
2023,Vance,Scott,South Dakota Brand Board
2023,Vester,Alan,Governor's Office
2023,Wadsworth,Kim,Board of Regents
2023,Wahl,Faron,State Fair Commission
2023,Waldner,Mike,Gov's Office of Econ Dev
2023,Walsh,Brian,Dept. of Agriculture and Nat Resources
2023,Wanous,Michael,Board of Regents
2023,Ward,Emily,Department of Labor and Regulation
2023,Warnke,Marcus,Dept. of Agriculture and Nat Resources
2023,Wasko,Kellie,Department of Corrections
2023,Waterson,Cheriee,Department of Education
2023,Watters,Stacy,Bureau of Administration
2023,Webster,Dan,Department of Revenue
2023,Weischedel,Monica,Department of Revenue
2023,Weiss,Eric,Department of Human Services
2023,Welch,Nate,Gov's Office of Econ Dev
2023,Wendell,Nick,Board of Technical Education
2023,Wendte,Jim,Dept. of Agriculture and Nat Resources
2023,Westra,Steve,Gov's Office of Econ Dev
2023,Whitlock,Greg,Department of Veterans Affairs
2023,Wickham,Jay,Department of Public Safety
2023,Wiest,David,Department of Revenue
2023,Williams,Jason,State Treasurer Office
2023,Williams,Mandy,Board of Speech-Language Pathologists
2023,Williams,Myron,South Dakota Brand Board
2023,Williams,Rachel,Bureau of Finance and Management
2023,Winder,Michael,Department of Corrections
2023,Wink,Joan,Board of Regents
2023,Wolfgang,Tiffany,Department of Social Services
2023,Woodmansey,Kent,Dept. of Agriculture and Nat Resources
2023,Yaeger,Rosa,Department of Revenue
2023,Yitagesu,Jeanelle,Department of Public Safety
2023,Yost,Martin,Department of the Military
2023,Youngberg,Jordan,State Treasurer Office
2023,Younie,Joey,Department of Human Services
2023,Zanter,Mary,Public Utilities Commission
2023,Zeller,Ellen,Bureau of Human Resources
2023,Zilverberg,Ashley,Department of Revenue
2024,Abeln,Barb,Department of Human Services
2024,Abraham,Doug,SD Science & Technology Authority
2024,Adams,Roberta,Department of Revenue
2024,Afdahl,Bret,Department of Labor and Regulation
2024,Almond,Penni,State Treasurer Office
2024,Almond,Travis,South Dakota Retirement System
2024,Althoff,Matt,Department of Social Services
2024,Ambach,Craig,Bureau of Human Resources and Administration
2024,Anderson,Laurie,Board of Regents
2024,Anderson,Robert,Board of Regents
2024,Appl,Jim,South Dakota Retirement System
2024,Ashes,SeVern,Bureau of Information and Telecommunications
2024,Bachand,Paul,Governor's Office
2024,Bachand,Paul,Department of Public Safety
2024,Baker,Patrick,Department of Tourism
2024,Barnett,Mallori,Bureau of Human Resources and Administration
2024,Bastian,Kayla,Board of Regents
2024,Beck,Kellie,Department of Transportation
2024,Behm,Mike,Department of Transportation
2024,Bennett,Pamela,Department of Social Services
2024,Berg,Steven,Bureau of Human Resources and Administration
2024,Besch,Peggy,Department of Agriculture and Natural Resources
2024,Bierne,Jon,Department of Public Safety
2024,Bies,Jayden,Governor's Office
2024,Biteler,Kaitlin,Department of Revenue
2024,Blaha,Kathryn,Department of Education
2024,Blanton,John,Board of Regents
2024,Bloemendaal,Calvin,Department of Tourism
2024,Boetel,Melanie,Department of Social Services
2024,Boxley,Kayla,Secretary of State
2024,Brentlinger,Ann,Board of Regents
2024,Broers,John,Department of Public Safety
2024,Brown,Brock,Board of Regents
2024,Bruce,Harold,Bureau of Information and Telecommunications
2024,Bruels,Andy,Department of Agriculture and Natural Resources
2024,Brunner,Ryan,Governor's Office
2024,Bunkers,Kristi,Department of Corrections
2024,Burrows,Whitney,Board of Medical and Osteopathic Examiners
2024,Campbell,Jason,Department of the Military
2024,Carlson,Robin,Department of Revenue
2024,Cassady,Joe,Board of Regents
2024,Chambliss,Cody,Public Utilities Commission
2024,Christian,Susan,Commission on Gaming
2024,Christopherson,Dustin,Bureau of Finance and Management
2024,Clark,Doug,Department of Corrections
2024,Clark,Liza,Board of Regents
2024,Clark,Matt,South Dakota Investment Council
2024,Clines,Jeff,Bureau of Information and Telecommunications
2024,Collins,Casey,Department of Public Safety
2024,Coppersmith,Bridget,Department of Corrections
2024,Corbin,Steve,Bureau of Finance and Management
2024,Corey,Cam,Lake Area Technical College
2024,Cornelison,Mike,School and Public Lands
2024,Cowman,Tim,Department of Agriculture and Natural Resources
2024,Cruse,Rebecca,Department of Tourism
2024,Cundy,Mary,Board of Regents
2024,Deadrick,Tom J.,Secretary of State
2024,Decker,Mackenzie,Governor's Office
2024,Decker,Todd,Board of Hearing Aid Dispensers
2024,Deiter,Larry,Department of Labor and Regulation
2024,DeJabet,Lee,State Treasurer Office
2024,DesLauriers,Scott,Board of Technical Education
2024,Dittman,Judy,Board of Regents
2024,Dokken,Beth,Department of Health
2024,Dorschner,Tony,Department of Labor and Regulation
2024,Dovre,Dawn,Department of Labor and Regulation
2024,Dovre,Travis,Gov's Office of Econ Dev
2024,Dowling,Kayla,Secretary of State
2024,Dunn,Barry,Board of Regents
2024,Duvall,Ron,Department of Agriculture and Natural Resources
2024,Eckert,Brandi,Department of Revenue
2024,Edwards,Kristen,Public Utilities Commission
2024,Elliott,Steve,Board of Regents
2024,Ellsworth,Jacey,Department of Tourism
2024,Engebretson,Dan,Board of Regents
2024,Engel,Tim,Gov's Office of Econ Dev
2024,Engel,Tim M.,SD Science & Technology Authority
2024,Engler,Gregg,Bureau of Human Resources and Administration
2024,Erickson,Samara,Secretary of State
2024,Evans,Jason,Department of Revenue
2024,Evins,Tyler,Department of Labor and Regulation
2024,Farris,Holly,Board of Regents
2024,Fawcett,Kayla,Department of Agriculture and Natural Resources
2024,Fiala,Joe,Gov's Office of Econ Dev
2024,Fiddler,Doug,South Dakota Retirement System
2024,Finck,Caleb,School and Public Lands
2024,Florentz,Terry,Department of Agriculture and Natural Resources
2024,Flute,David,Department of Tribal Relations
2024,Flynn,Grant,Attorney General
2024,Fonkert,Jesse,Gov's Office of Econ Dev
2024,Forney,Heather,Board of Regents
2024,Franken,AJ,Board of Regents
2024,Frederick,Randy,Board of Regents
2024,Fulton,Neil,Board of Regents
2024,Fuoss,Anita,Bureau of Human Resources and Administration
2024,Fury,Ian,Governor's Office
2024,Garelick Bell,Ross B,Lower Brule Sioux Tribe
2024,Gemar,Stephen,Attorney General
2024,Gere,Tom,Department of Agriculture and Natural Resources
2024,Gerry,Darrin,Department of Revenue
2024,Gesick-Johnson,Ann,Gov's Office of Econ Dev
2024,Gestring,Sheila,Board of Regents
2024,Goltz,Megan,Governor's Office
2024,Good,Kylie,Department of Agriculture and Natural Resources
2024,Goodman,Wanda,Department of Tourism
2024,Grambihler,Anissa,State Treasurer Office
2024,Graves,Dr. Joseph,Department of Education
2024,Greenfield,Brock,School and Public Lands
2024,Gregg,Deb,Public Utilities Commission
2024,Griffiths,Jose - Marie,Board of Regents
2024,Griffiths,Jose Marie,Board of Regents
2024,Griggs,Robert,Southeast Technical College
2024,Gronlund,Eric,Department of Agriculture and Natural Resources
2024,Gruebele,Morgan,Bureau of Finance and Management
2024,Gussiaas,Mike,Department of Tourism
2024,Gustafson,Derek,Department of Labor and Regulation
2024,Hackemer,Kurt,Board of Regents
2024,Hagen,James,Department of Tourism
2024,Hansen,Dave,Board of Regents
2024,Hansen,Margaret,Board of Medical and Osteopathic Examiners
2024,Harrington,Nicholas,"Department of Game, Fish and Parks"
2024,Harsma,Mike,Housing Development Authority
2024,Haugan,Leah,Bureau of Human Resources and Administration
2024,Hayden-Moreland,Wayne,Bureau of Information and Telecommunications
2024,Headley,Mike,SD Science & Technology Authority
2024,Hedge,Dennis,Board of Regents
2024,Heltzel,Mark,Commission on Gaming
2024,Hepper,Clark,Department of Revenue
2024,Herman,Jade,Board of Regents
2024,Hight,Todd,Housing Development Authority
2024,Hinker,Clint,Board of Hearing Aid Dispensers
2024,Hitchcock,Sarah,Governor's Office
2024,Hluchy,Claudean,Board of Regents
2024,Hoey,Rebecca,Board of Regents
2024,Hohn,Connie,Department of the Military
2024,Holbeck,Mike,Board of Regents
2024,Holbrook,Candy,Department of Labor and Regulation
2024,Hollatz,Beth,Governor's Office
2024,Holt,Kyle,School and Public Lands
2024,Houdyshell,Michael,Department of Revenue
2024,Howard,Megan,Bureau of Human Resources and Administration
2024,Howell,Jenna,Department of Human Services
2024,Hruska,Katie,Governor's Office
2024,Huft,Dave,Department of Transportation
2024,Hull,Melissa,State Treasurer Office
2024,Hulstein,Kirk,Department of Tourism
2024,Hultman,Marcia,Department of Labor and Regulation
2024,Humann,Michelle,South Dakota Retirement System
2024,Humphrey,Jason,Department of Transportation
2024,Husby,Jason,Department of Public Safety
2024,Jares,Alison,Department of Revenue
2024,Jasper,Kirsten,Department of Revenue
2024,Jensen,Amber,Department of Revenue
2024,Jensen,Brock,Department of Labor and Regulation
2024,Johnson,Chuck,Department of Veterans Affairs
2024,Johnson,Derek,Bureau of Finance and Management
2024,Johnson,Jeremy,Department of Social Services
2024,Johnson,Kathy,Board of Regents
2024,Jones,Ben,Department of Education
2024,Jordan,Travis,Department of Labor and Regulation
2024,Jorgensen,Lindsey,Board of Hearing Aid Dispensers
2024,Jost,Amanda,Bureau of Information and Telecommunications
2024,Joy,Amelia,Governor's Office
2024,Jundt,Joel,Department of Transportation
2024,Kappenman,Angi,Bureau of Human Resources and Administration
2024,Kearney,Darren,Public Utilities Commission
2024,Keeler,Colin,Bureau of Finance and Management
2024,Keeler,Mary,Bureau of Finance and Management
2024,Keiser,Darcy,Department of Agriculture and Natural Resources
2024,Kemnitz,Cindy,Public Utilities Commission
2024,Kempema,Brent,Attorney General
2024,Kern,Paul,Board of Regents
2024,Kerr,Allysen,Bureau of Finance and Management
2024,Ketterling,Jason,Department of Public Safety
2024,Kiel,Emily,Department of Health
2024,Kilpinen,Jon,Board of Regents
2024,Kilpinen,Jon,Board of Regents
2024,Kirschenmann,Tom,"Department of Game, Fish and Parks"
2024,Knapp,Renee,School and Public Lands
2024,Koch,Duncan,Bureau of Finance and Management
2024,Kohler,Steven,Bureau of Finance and Management
2024,Koisti,Ben,Governor's Office
2024,Koldenhoven,Sam,South Dakota Retirement System
2024,Kotilnek,Jon,Governor's Office
2024,Kriech,Julie,Board of Regents
2024,Krogh,Mary Anne,Board of Regents
2024,Kruger,Jill,Department of Labor and Regulation
2024,Krusemark,Stacy,Board of Regents
2024,Krzmarzick,Heather,Department of Human Services
2024,LaCroix,Amanda,Department of Education
2024,LaMie,Jessica,Attorney General
2024,Landguth,Scott,South Dakota Ellsworth Development Authority
2024,Langdell,Anne,Board of Regents
2024,LaRoche,Wade,Department of Revenue
2024,Lees,Mike,Department of Agriculture and Natural Resources
2024,Lehrkamp,Christine,Secretary of State
2024,Lemieux,Angie,Department of Public Safety
2024,Limoges,Chuck,Bureau of Information and Telecommunications
2024,Lingle,Norman,Department of Revenue
2024,Link,David,Board of Regents
2024,Link,Marty,Department of Health
2024,Lippert,Jeremy,Department of Social Services
2024,Lochner,Jim,Board of Regents
2024,Lorenzen,Paul,Department of Agriculture and Natural Resources
2024,Lukkes,Nathan,Board of Regents
2024,Lusk,Dan,Department of Public Safety
2024,Lutz,Jason,Bureau of Finance and Management
2024,Lyons,Shawn,"Department of Game, Fish and Parks"
2024,Magstadt,Melissa,Department of Health
2024,Maier,Morgan,Department of Revenue
2024,Malone,Shannon,Department of Education
2024,Marnell,Frank,Department of Labor and Regulation
2024,Marquardt,Abby,Department of Tribal Relations
2024,Martinec,Tom,Department of Human Services
2024,Mattke,Gaye,Department of Human Services
2024,Mayer,Alex,Department of Social Services
2024,Mayer,Mark,Department of Agriculture and Natural Resources
2024,McCabe,Jerry,Department of Labor and Regulation
2024,McFarling,Tina,Department of Agriculture and Natural Resources
2024,McGuigan,Charles,Attorney General
2024,McGuigan,Darcy,Department of Health
2024,McGuire,Jaclyn,Department of Agriculture and Natural Resources
2024,Meendering,Jonathan,Board of Regents
2024,Merriman,Paul,Department of Public Safety
2024,Meyer,Jennifer,Bureau of Human Resources and Administration
2024,Michels,Marshall,Department of the Military
2024,Michels,Nicholaus,"Department of Game, Fish and Parks"
2024,Mielke,Barry,Board of Regents
2024,Miesner,Brandy,Bureau of Finance and Management
2024,Mikkelsen,Michelle,South Dakota Retirement System
2024,Miller,Dr. Mendel,Animal Industry Board
2024,Minder,Janice,Board of Regents
2024,Mohr,Leah,Public Utilities Commission
2024,Molseed,Adam,Gov's Office of Econ Dev
2024,Moran,Joe,Department of Education
2024,Morrell,MG Mark,Department of the Military
2024,Morrison,Doug,Board of Regents
2024,Mosteller,Chad,Attorney General
2024,Mulder,Amber,Department of Labor and Regulation
2024,Nagel,Justin,School and Public Lands
2024,Nedved,Al,"Department of Game, Fish and Parks"
2024,Nickelson,Johanna,Department of Labor and Regulation
2024,Niedringhaus,Paul,Department of Public Safety
2024,Nincehelser,Trent,Bureau of Information and Telecommunications
2024,Nishimura,Tony,South Dakota Ellsworth Development Authority
2024,Olson,Aaron,Unified Judicial System
2024,Olson,Chas,Housing Development Authority
2024,Olson,Cora,Department of Public Safety
2024,Osborn,Fred,Department of Tribal Relations
2024,Otten,Brad,Governor's Office
2024,Overby,Dave,Board of Regents
2024,Overgaard,Julie,Bureau of Information and Telecommunications
2024,Overweg,Pam,Department of Labor and Regulation
2024,Partridge,Jeff,Board of Regents
2024,Paulson,Veronica,Board of Regents
2024,Penaranda,Miguel,Bureau of Information and Telecommunications
2024,Perry,Bob,Department of Public Safety
2024,Perry,Heather,Bureau of Information and Telecommunications
2024,Perry,Jay,Board of Regents
2024,Petersen,Chris,"Department of Game, Fish and Parks"
2024,Peterson,Casey,SD Science & Technology Authority
2024,Peterson,Joel,Department of Public Safety
2024,Plumage,Noreen,Unified Judicial System
2024,Podhradsky,Ashley,Board of Regents
2024,Pollard,Aaron,Department of Veterans Affairs
2024,Proffitt,John,Bureau of Finance and Management
2024,Pullman,Shane,Department of Transportation
2024,Rae,Lisa,Department of Education
2024,Rae,Tony,Bureau of Information and Telecommunications
2024,Rankin,Jim,Board of Regents
2024,Rasmussen,Randy,Board of Regents
2024,Rave,Tim,Board of Regents
2024,Rechtenbaugh,Scott,Department of Public Safety
2024,Rechtenbaugh,Shawnie,Department of Human Services
2024,Reenders,Dr Susan,Animal Industry Board
2024,Reindl,Leanne,Department of Veterans Affairs
2024,Reiners,Brad,Department of Public Safety
2024,Reis,Jenna,Board of Technical Education
2024,Reiss,Amanda,Public Utilities Commission
2024,Richardson,Toni,Department of Revenue
2024,Richter,John,South Dakota Investment Council
2024,Ridgway,Tim,Board of Regents
2024,Ringling,Laura,Governor's Office
2024,Ringstmeyer,Kendra,Department of Labor and Regulation
2024,Rislov,Greg,Public Utilities Commission
2024,Roberts,Hunter,Department of Agriculture and Natural Resources
2024,Roberts,Jerilyn,Board of Regents
2024,Roberts,Lance,Board of Regents
2024,Roberts,Pam,Board of Regents
2024,Robertson,Tiff,South Dakota Ellsworth Development Authority
2024,Robling,Kevin,"Department of Game, Fish and Parks"
2024,Rombough,Kyrik,Department of Agriculture and Natural Resources
2024,Roth,Kelsey,Attorney General
2024,Roth,Troy,Department of Agriculture and Natural Resources
2024,Satterlee,Dan,Attorney General
2024,Sattizahn,Greg,Unified Judicial System
2024,Schaefbauer,Ali,Department of Revenue
2024,Schaefbauer,Logan,Public Utilities Commission
2024,Scheibe,Laura,Department of Education
2024,Schelhaas,Sam,"Department of Game, Fish and Parks"
2024,Schiefelbein,Derek,Department of Agriculture and Natural Resources
2024,Schilken,Chris,Gov's Office of Econ Dev
2024,Schinkel,Doug,Department of Revenue
2024,Schneider,Nicole,Department of Tribal Relations
2024,Schnoor,Neal,Board of Regents
2024,Scholl,Daniel,Board of Regents
2024,Schoonhoven,Timothy,Department of Agriculture and Natural Resources
2024,Seamon,George,Department of Education
2024,Seeley,Darin,Bureau of Human Resources and Administration
2024,Semmler,Wendy,Department of Revenue
2024,Senger,Keith,Bureau of Finance and Management
2024,Severyn,Jenna,Department of Public Safety
2024,Sievers,Brenda,Department of Agriculture and Natural Resources
2024,Simmons,Jason,Department of Social Services
2024,Simpson,Scott,"Department of Game, Fish and Parks"
2024,Sinner,Missy,Gov's Office of Econ Dev
2024,Skipper,Brittni,Department of Corrections
2024,Smith,Bill,Department of Agriculture and Natural Resources
2024,Smith,Craig,Department of Transportation
2024,Smith,Dawn,South Dakota Retirement System
2024,Smith,Steve,Board of Regents
2024,Snow,Pat,Bureau of Information and Telecommunications
2024,Soulek,Rachel,Secretary of State
2024,Southern,Dr. Tim,Department of Health
2024,Spindle,Bill,Board of Regents
2024,Stadick Smith,Mary,Department of Education
2024,Stahl,Jon,Department of Public Safety
2024,Steen,Tyler,Department of Public Safety
2024,Stevens,Sadie,Unified Judicial System
2024,Stoeser,Cody,Department of Education
2024,Stoeser,Tiffany,Attorney General
2024,Storm,Jacque,South Dakota Retirement System
2024,Stroeder,Eric,South Dakota Retirement System
2024,Stuck,Haven,South Dakota Brand Board
2024,Sung,Yolanda,Bureau of Finance and Management
2024,Switzer,Chad,"Department of Game, Fish and Parks"
2024,Tant,Cheyenne,Department of Agriculture and Natural Resources
2024,Tellinghuisen Geddes,Brooke,Board of Hearing Aid Dispensers
2024,Templeton,Don,Bureau of Finance and Management
2024,Terwilliger,Jim,Bureau of Finance and Management
2024,Thompson,Dr Beth,Animal Industry Board
2024,Thurber,Jon,Public Utilities Commission
2024,Tibbs,Bailey,Secretary of State
2024,Tidball-Zeltinger,Brenda,Department of Social Services
2024,Titze,Tina,Department of Public Safety
2024,Trapp,Debbie,South Dakota Brand Board
2024,Trautman,Karla,Board of Regents
2024,Tritle,Blaire,Bureau of Finance and Management
2024,Tronvold,Jeff,Unified Judicial System
2024,Turman,Kristi,Department of Public Safety
2024,Turner,Linda,Department of Education
2024,Tysdal,Bailey,Department of Tourism
2024,Valenti,Lynne,Department of Health
2024,Van Gerpen,Patricia,Public Utilities Commission
2024,Van Sickle,Kami,Board of Regents
2024,Vance,Scott,South Dakota Brand Board
2024,VanMeeteren,Jeff,"Department of Game, Fish and Parks"
2024,Vogel,Jessica,Board of Regents
2024,Waldner,Mike,Gov's Office of Econ Dev
2024,Walsh,Brian,Department of Agriculture and Natural Resources
2024,Wanous,Michael,Board of Regents
2024,Ward,Aaron,Department of Agriculture and Natural Resources
2024,Ward,Emily,Department of Labor and Regulation
2024,Warnke,Marcus,Department of Agriculture and Natural Resources
2024,Wasko,Kellie,Department of Corrections
2024,Watters,Stacy,Bureau of Human Resources and Administration
2024,Watterson,Cheriee,Department of Education
2024,Webster,Dan,Department of Revenue
2024,Weinmeister,Rob,Department of Public Safety
2024,Weischedel,Monica,Department of Revenue
2024,Weiss,Eric,Department of Human Services
2024,Wendell,Nick,Board of Technical Education
2024,Wendte,Jim,Department of Agriculture and Natural Resources
2024,Whitlock,Greg,Department of Veterans Affairs
2024,Wickham,Jay,Department of Public Safety
2024,Wiebe,Trevor,Department of Revenue
2024,Willey,Hallie,Department of Tourism
2024,Williams,Jason,State Treasurer Office
2024,Williams,Myron,South Dakota Brand Board
2024,Williams,Rachel,Bureau of Finance and Management
2024,Wilson,Mark,Mitchell Technical College
2024,Wolfgang,Tiffany,Department of Social Services
2024,Woodmansey,Kent,Department of Agriculture and Natural Resources
2024,Yaeger,Rosa,Department of Revenue
2024,Young,Linda,Board of Nursing
2024,Younie,Joey,Department of Human Services
2024,Zanter,Mary,Public Utilities Commission
2024,Zilverberg,Ashley,Department of Revenue
